name,strunz,id,formula,elements,hyperlink,comments,shift
Black_nephrite,,35,,,,,
Actinolite_,9.DE.10,83,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Aegirine_association with fluorcarletonite f3,9.DA.25,14,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_ChR-21-2 Mitichkin black grain,9.DA.25,202,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_Ch21-2 in associatiopn tinaksite,9.DA.25,203,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_in association with turkestanite Inagli,9.DA.25,208,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_Khon-Bogdo Radomskay,9.DA.25,449,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_in association with charoite and dalyeite,9.DA.25,456,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_LV-23-1 Pankorovskyi,9.DA.25,498,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_LV-23-1 grain 2 Panimkorovsky,9.DA.25,499,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_green Inagli Radomskaya,9.DA.25,85,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_Murun polished thin Radomskaya,9.DA.25,88,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Afghanite_Ladzhvarda,9.FB.05,2,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afghanite_Tultuy row 4,9.FB.05,291,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afghanite_Tultuy s7,9.FB.05,390,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[Mindat](http://www.mindat.org/search.php?name=Afghanite),,
"Afghanite,Sar-e-Sang_",,Sar-e-Sang,,,,,
Agrellite_Kaneva,9.DH.75,47,NaCa2Si4O10F,Na Ca Si O F,[Mindat](http://www.mindat.org/search.php?name=Agrellite),,
Akermanite_probably Mineral in Nyiragongo lava 2020 erption kermanite like,9.BB.10,139,Ca2MgSi2O7,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Akermanite),,
Albite_in association with turkestnite Dara-i-Pioz grain 3,9.FA.35,214,Na(AlSi3O8),Na Al Si O,[Mindat](http://www.mindat.org/search.php?name=Albite),,
Almandine_okulb kholomolokh,9.AD.25,315,Fe2+3Al2(SiO4)3,Fe Al Si O,[Mindat](http://www.mindat.org/search.php?name=Almandine),,
Amphibole-X_Radomskaya Anagsolka green grass,,140,,,,,
Amphibole_from Tageran Levitskiy,,157,,,,,
Andalusite_,9.AF.10,319,Al2SiO5,Al Si O,[Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_Mitichkin pink,9.AF.10,419,Al2SiO5,Al Si O,[Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_Makrygina,9.AF.10,420,Al2SiO5,Al Si O,[Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_pink Mitichkin sample 2,9.AF.10,425,Al2SiO5,Al Si O,[Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andradite_melanite 2234,9.AD.25,316,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Andradite),,
"Andradite_melanite,demont",9.AD.25,361,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Andradite),,
Grossular-Andradite_Sasim,,464,,,,,
Anhydrite_Tolbachik,7.AD.30,277,Ca(SO4),Ca S O,[Mindat](http://www.mindat.org/search.php?name=Anhydrite),,
Ankerite_Radomskaya,5.AB.10,187,"Ca(Fe2+,Mg)(CO3)2",Ca Fe Mg C O,[Mindat](http://www.mindat.org/search.php?name=Ankerite),,
Dark_lambradorite Medvedev,,39,,,,,
Light_blue lambradorite oplescent region,,40,,,,,
Aragonite_,5.AB.15,44,Ca(CO3),Ca C O,[Mindat](http://www.mindat.org/search.php?name=Aragonite),,
Arfvedsonite_probably from inrtu,9.DE.25,23,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Arfvedsonite_INRTU 2058,9.DE.25,270,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Arfvedsonite_probably from inrtu,9.DE.25,507,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Arfvedsonite_,9.DE.25,78,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Arfvedsonite_Vladykin,9.DE.25,81,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Association_with aerinite,,151,,,,,
Augite_plagioclase from oivine gabbro Kamchatka Demonterova,9.DA.15,293,"(Ca,Mg,Fe)2Si2O6",Ca Mg Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Augite),,
Axinite-Fe_Sasim,,486,,,,,
"Axinite-Fe,Sasim_",,Sasim,,,,,
Axinite-(Mn)_Dalnegorsk Primorie Radomskaya,9.BD.20,229,Ca4Mn2+2Al4 [B2Si8O30 ](OH)2,Ca Mn Al B Si O H,[Mindat](http://www.mindat.org/search.php?name=Axinite-(Mn)),,
Axinite-Mn_Vlasuyk pink,,232,,,,,
Azurite_Kaneva,5.BA.05,64,Cu3(CO3)2(OH)2,Cu C O H,[Mindat](http://www.mindat.org/search.php?name=Azurite),,
"Azurite-,dem-2_",,dem-2,,,,,
Balliranoite_,9.FB.05,283,"(Na,K)6Ca2(Si6Al6O24)Cl2(CO3)",Na K Ca Si Al O Cl C,[Mindat](http://www.mindat.org/search.php?name=Balliranoite),,
Balliranoite_,9.FB.05,290,"(Na,K)6Ca2(Si6Al6O24)Cl2(CO3)",Na K Ca Si Al O Cl C,[Mindat](http://www.mindat.org/search.php?name=Balliranoite),,
Balliranoite_s7,9.FB.05,391,"(Na,K)6Ca2(Si6Al6O24)Cl2(CO3)",Na K Ca Si Al O Cl C,[Mindat](http://www.mindat.org/search.php?name=Balliranoite),,
Baratovite_in association with feldspar and turkestanite Dara-i-Pioz grain 1,9.CJ.25,212,KLi3Ca7Ti2(SiO3)12F2,K Li Ca Ti Si O F,[Mindat](http://www.mindat.org/search.php?name=Baratovite),,
Baratovite_in association with turkestanite grain 3 Dara-i-Pioz,9.CJ.25,215,KLi3Ca7Ti2(SiO3)12F2,K Li Ca Ti Si O F,[Mindat](http://www.mindat.org/search.php?name=Baratovite),,
Barite_Adygeya,,226,,,,,
Baryte_Radomskaya Belorech,9.BC.20,470,Ba(SO4),Ba S O,[Mindat](http://www.mindat.org/search.php?name=Baryte),,
Baryte_Belorechenskoe,9.BC.20,471,Ba(SO4),Ba S O,[Mindat](http://www.mindat.org/search.php?name=Baryte),,
Baryte_Belorechenskoe yellowish,9.BC.20,472,Ba(SO4),Ba S O,[Mindat](http://www.mindat.org/search.php?name=Baryte),,
Batisite_Inagli Radomskaya second point,9.DH.20,434,Na2BaTi2O2(Si2O6)2,Na Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Batisite),,
Batisite_Inagli second sample,9.DH.20,435,Na2BaTi2O2(Si2O6)2,Na Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Batisite),,
Batisite_sample 3 Inagli Radomskaya,9.DH.20,436,Na2BaTi2O2(Si2O6)2,Na Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Batisite),,
Batisite_Inagli,9.DH.20,80,Na2BaTi2O2(Si2O6)2,Na Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Batisite),,
Belovite_Lovozero Radomskaya,,521,,,,,
Bertrandite_or spaerobertrandite Ermakovka,9.BD.05,269,Be4Si2O7(OH)2,Be Si O H,[Mindat](http://www.mindat.org/search.php?name=Bertrandite),,
Beryl_light blue,9.CJ.05,109,Be3Al2Si6O18,Be Al Si O,[Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_light green blue,9.CJ.05,110,Be3Al2Si6O18,Be Al Si O,[Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_light blue,9.CJ.05,111,Be3Al2Si6O18,Be Al Si O,[Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_green Sasim,9.CJ.05,466,Be3Al2Si6O18,Be Al Si O,[Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_green Sasim other cleavage,9.CJ.05,467,Be3Al2Si6O18,Be Al Si O,[Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_green Sasim other cleavage,9.CJ.05,510,Be3Al2Si6O18,Be Al Si O,[Mindat](http://www.mindat.org/search.php?name=Beryl),,
Biachellaite_Sacrofano,9.FB.05,5,"(Na,Ca,K)8(Si6Al6O24)(SO4)2(OH)0.5 H2O",Na Ca K Si Al O S H,[Mindat](http://www.mindat.org/search.php?name=Biachellaite),,
Biotiite_,,415,,,,,
Biotite_Phlogopite,,31,,,,,
Boussingaultite-refl_,,refl,,,,,
Brookite_Vladykin,4.AB.20,50,TiO2,Ti O,[Mindat](http://www.mindat.org/search.php?name=Brookite),,
Brookite_Vladykin,4.AB.20,512,TiO2,Ti O,[Mindat](http://www.mindat.org/search.php?name=Brookite),,
Brucite_,4.FE.05,112,Mg(OH)2,Mg O H,[Mindat](http://www.mindat.org/search.php?name=Brucite),,
Brucite_bendeliani,4.FE.05,335,Mg(OH)2,Mg O H,[Mindat](http://www.mindat.org/search.php?name=Brucite),,
Brucite_bendeliani,4.FE.05,511,Mg(OH)2,Mg O H,[Mindat](http://www.mindat.org/search.php?name=Brucite),,
Bystrite_in association with calcite,9.FB.05,282,Na7Ca(Al6Si6)O24(S5)2-Cl1-,Na Ca Al Si O S Cl,[Mindat](http://www.mindat.org/search.php?name=Bystrite),,
Calcite_Tageran massif PriOlhon,5.AB.05,154,Ca(CO3),Ca C O,[Mindat](http://www.mindat.org/search.php?name=Calcite),,
calcite_and serpentine,5.AB.05,197,Ca(CO3),Ca C O,[Mindat](http://www.mindat.org/search.php?name=Calcite),,
Blue_Calcite,,45,,,,,
Calcite_pink Koshunovskoe Vorotsov,5.AB.05,51,Ca(CO3),Ca C O,[Mindat](http://www.mindat.org/search.php?name=Calcite),,
Calcite_Tageran massif PriOlhon,5.AB.05,513,Ca(CO3),Ca C O,[Mindat](http://www.mindat.org/search.php?name=Calcite),,
Icelandic_spar,,52,,,,,
Canasite_Lovozero Panikorovskiy,9.DG.80,421,K3Na3Ca5Si12O30(OH)4,K Na Ca Si O H,[Mindat](http://www.mindat.org/search.php?name=Canasite),,
Cancrinite_Kaneva,9.FB.05,22,"(Na,Ca,  box )8(Al6Si6)O24(CO3,SO4)2 2H2O",Na Ca Al Si O C S H,[Mindat](http://www.mindat.org/search.php?name=Cancrinite),,
Carletonite_Canada association with aphophillite f1,9.EB.20,15,"KNa4Ca4Si8O18(CO3)4(F,OH) H2O",K Na Ca Si O C F H,[Mindat](http://www.mindat.org/search.php?name=Carletonite),,
Carletonite_Canada f1,9.EB.20,16,"KNa4Ca4Si8O18(CO3)4(F,OH) H2O",K Na Ca Si O C F H,[Mindat](http://www.mindat.org/search.php?name=Carletonite),,
Carletonite_Canada c1,9.EB.20,20,"KNa4Ca4Si8O18(CO3)4(F,OH) H2O",K Na Ca Si O C F H,[Mindat](http://www.mindat.org/search.php?name=Carletonite),,
Cassiterite_,4.DB.05,43,SnO2,Sn O,[Mindat](http://www.mindat.org/search.php?name=Cassiterite),,
Celestine_Madagascar,7.AD.35,254,Sr(SO4),Sr S O,[Mindat](http://www.mindat.org/search.php?name=Celestine),,
Celestine_Madagascar D-Agostinit,7.AD.35,255,Sr(SO4),Sr S O,[Mindat](http://www.mindat.org/search.php?name=Celestine),,
Celestine_SrSO4 in association Korshuniha,7.AD.35,256,Sr(SO4),Sr S O,[Mindat](http://www.mindat.org/search.php?name=Celestine),,
Blue_Celestine Vorontsov,,66,,,,,
Chalcanthite_,7.CB.20,191,Cu(SO4) 5H2O,Cu S O H,[Mindat](http://www.mindat.org/search.php?name=Chalcanthite),,
Charoite_large polished,9.DG.92,105,"(K,Sr,Ba,Mn)15-16(Ca,Na)32 [Si70(O,OH)180 ](OH,F)4 nH2O",K Sr Ba Mn Ca Na Si O H F,[Mindat](http://www.mindat.org/search.php?name=Charoite),,
Charoite_in association with flurocarletonite f4,9.DG.92,18,"(K,Sr,Ba,Mn)15-16(Ca,Na)32 [Si70(O,OH)180 ](OH,F)4 nH2O",K Sr Ba Mn Ca Na Si O H F,[Mindat](http://www.mindat.org/search.php?name=Charoite),,
Charoite_in asscociation with fluorcarletonite f5 ,9.DG.92,19,"(K,Sr,Ba,Mn)15-16(Ca,Na)32 [Si70(O,OH)180 ](OH,F)4 nH2O",K Sr Ba Mn Ca Na Si O H F,[Mindat](http://www.mindat.org/search.php?name=Charoite),,
Charoite_in association with daleyite,9.DG.92,454,"(K,Sr,Ba,Mn)15-16(Ca,Na)32 [Si70(O,OH)180 ](OH,F)4 nH2O",K Sr Ba Mn Ca Na Si O H F,[Mindat](http://www.mindat.org/search.php?name=Charoite),,
Charoite_thin polished Radomaksaya,9.DG.92,91,"(K,Sr,Ba,Mn)15-16(Ca,Na)32 [Si70(O,OH)180 ](OH,F)4 nH2O",K Sr Ba Mn Ca Na Si O H F,[Mindat](http://www.mindat.org/search.php?name=Charoite),,
"Chloritoid_,Aldan",9.AF.85,311,Fe2+Al2O(SiO4)(OH)2,Fe Al O Si H,[Mindat](http://www.mindat.org/search.php?name=Chloritoid),,
Chromite_,4.BB.05,306,Fe2+Cr2O4,Fe Cr O,[Mindat](http://www.mindat.org/search.php?name=Chromite),,
Chrompicotite_dem,,352,,,,,
Chrompicotite_dem-2,,353,,,,,
Clinochlore_Korshuniha,9.EC.55,185,Mg5Al(AlSi3O10)(OH)8,Mg Al Si O H,[Mindat](http://www.mindat.org/search.php?name=Clinochlore),,
Clinochlore_light chlorite Korshunikha,9.EC.55,186,Mg5Al(AlSi3O10)(OH)8,Mg Al Si O H,[Mindat](http://www.mindat.org/search.php?name=Clinochlore),,
Coecite_Bendilieni 3166 12GPa,,337,,,,,
Columbite_,,325,,,,,
Cordierite_,9.CJ.10,53,Mg2Al4Si5O18,Mg Al Si O,[Mindat](http://www.mindat.org/search.php?name=Cordierite),,
Cordierite-AK-37_,,AK-37,,,,,
Cristobalite_Tolbachik yellow,4.DA.15,285,SiO2,Si O,[Mindat](http://www.mindat.org/search.php?name=Cristobalite),,
Cummingtonite_,9.DE.05,77,  box Mg2Mg5Si8O22(OH)2,Mg Si O H,[Mindat](http://www.mindat.org/search.php?name=Cummingtonite),,
Daleyte_grey,,205,,,,,
Dalyite_Malyi Murun in association charoite tinaksite ChR-21-2 Mitichkin,9.EA.25,200,K2ZrSi6O15,K Zr Si O,[Mindat](http://www.mindat.org/search.php?name=Dalyite),,
Dalyite_grey blue ChR-21-2 Mitichkin,9.EA.25,201,K2ZrSi6O15,K Zr Si O,[Mindat](http://www.mindat.org/search.php?name=Dalyite),,
Dalyite_Murun,9.EA.25,453,K2ZrSi6O15,K Zr Si O,[Mindat](http://www.mindat.org/search.php?name=Dalyite),,
Dalyite_grey in association with charoite,9.EA.25,455,K2ZrSi6O15,K Zr Si O,[Mindat](http://www.mindat.org/search.php?name=Dalyite),,
Danburite_Mitichkin,9.FA.65,480,CaB2Si2O8,Ca B Si O,[Mindat](http://www.mindat.org/search.php?name=Danburite),,
Danburite_Mitichkin,9.FA.65,481,CaB2Si2O8,Ca B Si O,[Mindat](http://www.mindat.org/search.php?name=Danburite),,
Danburite_,9.FA.65,54,CaB2Si2O8,Ca B Si O,[Mindat](http://www.mindat.org/search.php?name=Danburite),,
Darrellhenryite_,9.CK.,113,Na(Al2Li)Al6(Si6O18)(BO3)3(OH)3O,Na Al Li Si O B H,[Mindat](http://www.mindat.org/search.php?name=Darrellhenryite),,
Darrellhenryite_al-2-2013,9.CK.,114,Na(Al2Li)Al6(Si6O18)(BO3)3(OH)3O,Na Al Li Si O B H,[Mindat](http://www.mindat.org/search.php?name=Darrellhenryite),,
"Darrellhenryite,al-15_",,al-15,,,,,
Datolite_,9.AJ.20,127,CaB(SiO4)(OH),Ca B Si O H,[Mindat](http://www.mindat.org/search.php?name=Datolite),,
Dianite_Murun Dim Kaneva,,170,,,,,
Dianite_Murun grain 4 Kaneva,,172,,,,,
Dianite_Yakokut grain 2 Kaneva,,173,,,,,
Diopside_piroxene brown L-9 Bystraya Levitskiy,9.DA.15,163,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Diopside_piroxene light blue L-9 Bystraya Levitskiy,9.DA.15,164,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Diopside_grey BB-33 Levitskiy,9.DA.15,166,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Diopside_uchastok Zvezdochka,9.DA.15,321,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Diopside_green  Radomskaya,9.DA.15,482,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Diopside_blue Ioko Dovyrene,9.DA.15,484,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Diopside_green Ioko Dovyrene,9.DA.15,485,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Chrome-diopside_Radomskaya brown,,65,,,,,
dark_green diopside radomskaya,,84,,,,,
Diopside_C.S. Radomaksaya in association with spinel and calcite,9.DA.15,86,CaMgSi2O6,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Diopside),,
Dolomite_carbonatite Guli,5.AB.10,190,CaMg(CO3)2,Ca Mg C O,[Mindat](http://www.mindat.org/search.php?name=Dolomite),,
Dolomite_in asociation with silvialite,5.AB.10,237,CaMg(CO3)2,Ca Mg C O,[Mindat](http://www.mindat.org/search.php?name=Dolomite),,
Dolomite_and talc association BKS K-1820,5.AB.10,407,CaMg(CO3)2,Ca Mg C O,[Mindat](http://www.mindat.org/search.php?name=Dolomite),,
Dravite_probably,9.CK.05,125,NaMg3Al6(Si6O18)(BO3)3(OH)3(OH),Na Mg Al Si O B H,[Mindat](http://www.mindat.org/search.php?name=Dravite),,
Elbaite_Rubellite Sherpova gora Mitichkin,9.CK.05,118,Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH),Na Al Li Si O B H,[Mindat](http://www.mindat.org/search.php?name=Elbaite),,
Elpidite_Khan-Bogdo,9.DG.65,450,Na2ZrSi6O15 3H2O,Na Zr Si O H,[Mindat](http://www.mindat.org/search.php?name=Elpidite),,
Elpidite_Knon-Bogdo,9.DG.65,451,Na2ZrSi6O15 3H2O,Na Zr Si O H,[Mindat](http://www.mindat.org/search.php?name=Elpidite),,
Elpidite_Khan-Bogdo,9.DG.65,452,Na2ZrSi6O15 3H2O,Na Zr Si O H,[Mindat](http://www.mindat.org/search.php?name=Elpidite),,
Enstatite_,9.DA.05,326,Mg2Si2O6,Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Enstatite),,
Epidote_Angasolka Radomskaya in association with x-pink,9.BG.05a,141,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_Korshunikham 2020 Makrigina,9.BG.05a,230,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_Angasolka DZhD Sukneva,9.BG.05a,248,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_DZdD Sukneva,9.BG.05a,249,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_Angasolka Radomskaya in association with x-pink,9.BG.05a,503,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
epoxy_,,287,,,,,
Eudialite_Inagli Radomskay,,437,,,,,
Eudialite_Inagli Radomskay,,438,,,,,
Eudialite_Khibiny Radomskay,,439,,,,,
Eudialite_Khibiny Radomskay,,440,,,,,
Eudialite_Khibiny Radomskay,,441,,,,,
Eudialite_Khibiny Radomskay,,442,,,,,
Fedorite_G-43 rose polished large,9.EE.80,106,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_grey G43 errosion,9.EE.80,107,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_G-43 crystal grain,9.EE.80,108,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
"Fedorite_plate,19-33 Murun",9.EE.80,12,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_Murun Noviy Mitichkin,9.EE.80,160,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
